word,length,arousal,valence,dominance,concreteness,imageability,familiarity,aoa,semsize,gender,polysemy,web_corpus_freq,arousal_std,valence_std,dominance_std,concretness_std,imageability_std,familiarity_std,aoa_std,semsize_std,gender_std,Words
steep,5,4.908,3.746,4.262,4.493,5.354,4.864,3.833,4.742,4.617,0,3399504.0,1.975,1.151,1.659,1.520,1.386,1.578,1.321,1.385,0.798,steep
steer,5,4.303,5.121,5.706,4.177,4.382,5.063,3.714,3.324,4.813,1,2159937.0,1.850,1.008,2.022,1.617,1.456,1.298,1.322,1.254,1.102,steer
stem,4,3.636,5.353,5.343,5.97,6.029,5.063,3.771,2.829,3.471,1,10775393.0,2.042,0.904,1.218,1.141,1.043,1.540,1.289,1.612,0.776,stem
stench,6,4.25,2.606,4.387,4.125,4.344,4.656,4.469,4.742,4.97,0,508722.0,2.264,1.254,1.407,1.635,1.725,1.779,1.145,1.458,1.193,stench
stereotype,10,4.343,2.912,3.618,3.2,4.114,5.824,5.714,4.886,3.743,0,859245.0,2.216,1.483,2.044,1.687,2.122,1.070,0.913,1.545,1.130,stereotype
stern,5,4.265,3.333,5.242,3.0,4.029,4.667,4.714,4.394,4.849,1,4643592.0,2.105,1.064,2.089,1.391,1.682,1.770,1.300,1.301,1.395,stern
steroids,8,5.097,3.063,5.161,5.936,4.75,4.786,6.031,3.813,5.931,0,4470028.0,2.388,1.478,2.172,1.045,1.620,1.698,1.015,2.022,0.828,steroids
stethoscope,11,4.844,5.313,5.29,6.767,6.321,4.4,5.097,2.9,4.31,0,409075.0,1.906,1.424,2.158,0.559,1.071,1.724,1.552,1.300,0.914,stethoscope
steward,7,3.412,5.4,4.364,6.286,5.171,4.546,5.706,3.909,4.6,0,1452024.0,1.768,1.314,2.101,0.973,1.502,1.971,0.925,1.485,1.398,steward
stick,5,2.824,4.788,5.313,6.382,6.061,5.765,2.353,2.606,4.656,1,22399126.0,1.543,0.913,1.379,1.085,1.476,1.373,1.054,1.278,0.988,stick
sticky,6,4.618,3.471,4.543,4.971,5.486,5.471,2.457,3.029,4.314,0,5698936.0,2.058,1.064,1.480,1.276,1.574,1.667,0.966,1.124,0.785,sticky
stiff,5,4.853,4.235,4.765,4.121,4.156,4.903,4.029,3.313,5.194,0,3492842.0,1.912,1.496,1.516,1.754,1.660,1.422,0.954,1.074,0.997,stiff
sting,5,5.2,2.429,4.029,5.257,5.686,5.063,2.771,3.257,4.441,0,2773263.0,2.459,0.838,1.797,1.380,1.063,1.657,0.959,1.794,1.034,sting
stingy,6,4.212,2.636,3.625,3.909,3.875,5.161,3.97,3.438,4.667,0,335740.0,2.447,1.344,1.516,1.602,1.763,1.608,1.507,1.713,1.271,stingy
stink,5,4.743,2.529,4.829,3.971,3.514,5.324,2.543,3.943,5.457,0,872742.0,2.234,1.169,1.576,1.682,1.795,1.585,0.936,1.330,0.905,stink
stir,4,4.455,5.152,5.485,4.882,5.441,5.879,3.0,3.061,3.441,1,4833763.0,1.971,0.989,1.579,1.278,1.265,1.008,1.515,1.013,1.217,stir
stock,5,3.438,5.406,4.781,4.531,4.03,5.2,4.273,4.091,4.807,1,176295589.0,1.853,1.247,1.672,1.520,1.899,1.536,1.420,1.379,1.060,stock
stolen,6,4.771,2.177,4.0,3.882,3.743,5.406,3.086,4.515,4.765,0,7341424.0,2.030,1.070,2.236,1.778,1.962,1.343,1.180,1.438,0.807,stolen
stomach,7,4.031,5.059,4.882,6.324,6.182,6.313,2.765,3.441,4.088,0,7234044.0,1.828,0.938,1.529,0.898,0.833,1.014,0.909,1.376,0.951,stomach
stone,5,3.344,5.063,5.29,6.4,6.5,5.862,2.606,2.879,4.929,1,42494931.0,1.428,0.966,1.083,1.114,0.885,1.279,0.983,1.805,0.961,stone
stool,5,2.343,4.706,5.375,6.559,6.412,4.941,3.029,2.829,4.457,1,3031945.0,1.603,1.072,1.139,0.735,0.974,1.679,1.485,1.207,0.840,stool
stop,4,4.355,3.452,4.333,3.788,4.0,6.276,1.849,4.219,4.531,0,77749471.0,2.133,1.291,2.844,1.771,1.741,1.229,0.821,1.763,0.968,stop
storage,7,2.943,5.088,5.571,5.382,5.559,5.686,4.235,4.771,4.412,0,81320471.0,1.804,1.039,1.379,1.495,1.333,1.260,1.165,1.416,1.004,storage
store,5,3.667,5.344,5.3,5.516,5.097,5.593,3.355,4.774,3.897,1,291308910.0,1.700,0.775,0.586,1.215,1.353,1.421,1.233,1.237,0.712,store
storeroom,9,2.688,4.969,4.839,6.258,6.188,5.323,4.645,4.258,4.485,0,152838.0,1.740,0.770,1.167,1.015,0.882,1.654,1.404,1.502,0.925,storeroom
storm,5,6.576,3.543,4.088,5.457,6.429,5.733,3.086,6.114,4.571,0,22242164.0,1.478,1.762,2.683,1.441,0.871,1.124,0.996,1.260,1.498,storm
